"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","24","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","8","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","76","6","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","12","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","8","1","0.000000","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","0","0","53","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","0","52","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","19","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","115","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","996","1024","1","299.864929","0","1024"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","36","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","0","4","1","0.000000","0","0"
"","0","1","0","1","0.000000","15","0"
"/Game/Materials/M_Tree.M_Tree","0","376","30","4","358.482483","0","4092"
"/Game/PN_interactiveSpruceForest/Materials/MasterMaterials/MA_Imposter.MA_Imposter","0","282","21","3","178.346085","0","2090"
"/Game/Materials/M_Landscape.M_Landscape","0","1183","100","11","465.044586","0","10556"
"/Game/PN_interactiveSpruceForest/UE4_Mannequin/Mannequin/Character/Materials/M_UE4Man_Body.M_UE4Man_Body","0","144","15","2","46.143173","0","967"
"/Game/PN_interactiveSpruceForest/Materials/MasterMaterials/MA_Summer.MA_Summer","0","1128","143","12","1168.466553","0","8936"
"/Game/PN_interactiveSpruceForest/Materials/MasterMaterials/MA_Winter.MA_Winter","0","1128","87","12","1165.182007","0","11277"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","0","19","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","8","1","0.000000","0","0"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","2","2","1","0.941442","0","2"
"/Niagara/DefaultAssets/DefaultSpriteMaterial.DefaultSpriteMaterial","0","0","60","1","0.000000","0","0"
"/Niagara/DefaultAssets/DefaultRIbbonMaterial.DefaultRibbonMaterial","0","0","48","1","0.000000","0","0"
"/Game/Materials/M_Lightning.M_Lightning","0","60","10","1","17.966658","0","312"
"/Game/PN_interactiveSpruceForest/Materials/MasterMaterials/MA_GroundSummer.MA_GroundSummer","0","75","9","1","26.004099","0","414"
"/Game/PN_interactiveSpruceForest/Materials/MasterMaterials/MA_GroundWinter.MA_GroundWinter","0","75","8","1","25.678741","0","408"
"/Game/MSPresets/MS_Foliage_Material/MasterMaterials/MA_Impostor.MA_Impostor","0","94","2","1","180.851685","94","1625"
"/Game/MSPresets/MS_Foliage_Material/MasterMaterials/MA_Foliage.MA_Foliage","0","74","9","1","64.969025","148","1450"
"/Game/MSPresets/MS_Foliage_Material/GlobalFoliageActor/Materials/MA_UI_Element.MA_UI_Element","0","30","11","1","11.954788","0","83"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","0","63","1","0.000000","0","0"
"/Game/MSPresets/MS_DefaultMaterial/MS_DefaultMaterial.MS_DefaultMaterial","0","48","10","1","18.720896","0","195"
"/Game/MSPresets/Foliage_Material/Foliage_Material.Foliage_Material","0","68","10","1","23.823015","0","408"
"/Game/MSPresets/Billboard_Material/Billboard_Material.Billboard_Material","0","68","6","1","33.984058","0","392"
"/Game/Megascans/Surfaces/Mossy_Ground_vl4odesfw/M_Mossy_Ground.M_Mossy_Ground","0","12","12","1","5.989254","0","18"
"/Game/Megascans/Surfaces/Ground_Roots_smuqcifp/TestMaterial.TestMaterial","0","12","12","1","5.971331","0","20"
"/Game/Megascans/Surfaces/Forest_Floor_vmciaekg/M_Forest_Leaves.M_Forest_Leaves","0","12","12","1","5.916648","0","22"
"/Game/Megascans/Surfaces/Forest_Floor_vliucel/M_Forest_Floor.M_Forest_Floor","0","12","12","1","6.094064","0","14"
"/Game/Megascans/Surfaces/Clover_Patches_on_Grass_sgmkajak/M_Clover_Grass.M_Clover_Grass","0","12","12","1","5.721868","0","16"
"/Game/Materials/M_Ripples-NEEDS_FIX.M_Ripples-NEEDS_FIX","0","12","12","1","5.858295","0","18"
"/Game/Materials/M_SnowParticles.M_SnowParticles","0","140","2","1","70.021667","0","1274"
"/Game/Materials/M_RainParticles.M_RainParticles","0","24","10","1","8.226776","0","68"
"/Game/FirstPerson/Meshes/BaseMaterial.BaseMaterial","0","0","33","1","0.000000","0","0"
"/Game/FirstPerson/Character/Materials/M_UE4Man_Body.M_UE4Man_Body","0","0","78","1","0.000000","0","0"
